name,last_modified,size
AERDT_L2_VIIRS_SNPP.A2020336.0524.001.2020336131215.nc,2021-01-12 05:40,8653539
AERDT_L2_VIIRS_SNPP.A2020336.0530.001.2020336131216.nc,2021-01-12 05:40,8482427
AERDT_L2_VIIRS_SNPP.A2020336.0706.001.2020336191749.nc,2021-01-12 05:40,9027602
AERDT_L2_VIIRS_SNPP.A2020336.0712.001.2020336191736.nc,2021-01-12 05:40,11030750
AERDT_L2_VIIRS_SNPP.A2020337.0512.001.2020337131029.nc,2021-01-12 05:40,7594268
AERDT_L2_VIIRS_SNPP.A2020337.0648.001.2020337191808.nc,2021-01-12 05:40,8618153
AERDT_L2_VIIRS_SNPP.A2020337.0654.001.2020337191808.nc,2021-01-12 05:40,9647041
AERDT_L2_VIIRS_SNPP.A2020338.0454.001.2020338131806.nc,2021-01-12 05:40,8126287
AERDT_L2_VIIRS_SNPP.A2020338.0630.001.2020338192014.nc,2021-01-12 05:40,10509524
AERDT_L2_VIIRS_SNPP.A2020338.0636.001.2020338192020.nc,2021-01-12 05:40,8835498
AERDT_L2_VIIRS_SNPP.A2020339.0612.001.2020339192139.nc,2021-01-12 05:40,9426488
AERDT_L2_VIIRS_SNPP.A2020339.0618.001.2020339192139.nc,2021-01-12 05:40,7934489
AERDT_L2_VIIRS_SNPP.A2020340.0548.001.2020340131901.nc,2021-01-12 05:40,7929485
AERDT_L2_VIIRS_SNPP.A2020340.0554.001.2020340131901.nc,2021-01-12 05:40,9338631
AERDT_L2_VIIRS_SNPP.A2020340.0730.001.2020340192037.nc,2021-01-12 05:40,8827072
AERDT_L2_VIIRS_SNPP.A2020340.0736.001.2020340192038.nc,2021-01-12 05:40,11753371
AERDT_L2_VIIRS_SNPP.A2020341.0530.001.2020341131521.nc,2021-01-12 05:40,7807282
AERDT_L2_VIIRS_SNPP.A2020341.0536.001.2020341131521.nc,2021-01-12 05:40,8964354
AERDT_L2_VIIRS_SNPP.A2020341.0712.001.2020341191839.nc,2021-01-12 05:40,8336371
AERDT_L2_VIIRS_SNPP.A2020341.0718.001.2020341191838.nc,2021-01-12 05:40,11411605
AERDT_L2_VIIRS_SNPP.A2020342.0518.001.2020342131416.nc,2021-01-12 05:40,8041989
AERDT_L2_VIIRS_SNPP.A2020342.0654.001.2020342191626.nc,2021-01-12 05:40,9092088
AERDT_L2_VIIRS_SNPP.A2020342.0700.001.2020342191618.nc,2021-01-12 05:40,10581033
AERDT_L2_VIIRS_SNPP.A2020343.0500.001.2020343131742.nc,2021-01-12 05:40,8334958
